description,class
"Desk screen frame, .#MMW W ,Intuity and Tibas worktop",DeskScreenFrame
"Desk screen frame, .#MMW W ,Intuity and Tibas worktop",DeskScreenFrame
"Desk screen frame, .#MMW W ,Intuity and Tibas worktop",DeskScreenFrame
"Desk screen frame, .#MMW W ,Intuity and Tibas worktop",DeskScreenFrame
"Desk screen tackable frame, .#MMW W, for Intuity rail",DeskScreenFrame
"Desk screen tackable frame, .#MMW W, for Intuity rail",DeskScreenFrame
"Desk screen tackable frame, .#MMW W, for Intuity rail",DeskScreenFrame
"Desk screen tackable frame, .#MMW W, for Intuity rail",DeskScreenFrame
"Desk screen tackable frame, .#MMW W, for Intuity rail",DeskScreenFrame
"Desk screen tackable frame, .#MMW W, for Intuity rail",DeskScreenFrame
"Desk screen tackable frame, .#MMW W, for Intuity rail",DeskScreenFrame
"Desk screen tackable frame, .#MMW W, for Intuity rail",DeskScreenFrame
"Desk screen tackable frame, .#MMW W, for Intuity rail",DeskScreenFrame
"Desk tackable screen frame, .#MMW W, Intuity and Tibas WT",DeskScreenFrame
"Desk tackable screen frame, .#MMW W, Intuity and Tibas WT",DeskScreenFrame
"Desk tackable screen frame, .#MMW W, Intuity and Tibas WT",DeskScreenFrame
"Desk tackable screen frame, .#MMW W, Intuity and Tibas WT",DeskScreenFrame
"Desk tackable screen frame, .#MMW W, Intuity and Tibas WT",DeskScreenFrame
"frame, hung fabric scrn .#MMW W, Intuty, worktop bkt",HungScreenFrame
"frame, hung fabric scrn .#MMW W, Intuty, worktop bkt",HungScreenFrame
"frame, hung fabric scrn .#MMW W, Intuty, worktop bkt",HungScreenFrame
"frame, hung fabric scrn .#MMW W, Intuty, worktop bkt",HungScreenFrame
"frame, hung fabric scrn .#MMW W, Intuty, worktop bkt",HungScreenFrame
"frame, hung fabric scrn .#MMW W, Intuty, worktop bkt",HungScreenFrame
"frame, hung fabric scrn .#MMW W, Intuty, worktop bkt",HungScreenFrame
"frame, hung fabric scrn .#MMW W, Intuty, end bkt",HungScreenFrame
"frame, hung fabric scrn .#MMW W, Intuty, end bkt",HungScreenFrame
"frame, hung fabric scrn .#MMW W, Intuty, end bkt",HungScreenFrame
"frame, hung fabric scrn .#MMW W, Intuty, end bkt",HungScreenFrame
"frame, hung fabric scrn .#MMW W, Intuty, end bkt",HungScreenFrame
"frame, hung tack fab scrn .#MMW W, Intuty, worktop bkt",HungScreenFrame
"frame, hung tack fab scrn .#MMW W, Intuty, worktop bkt",HungScreenFrame
"frame, hung tack fab scrn .#MMW W, Intuty, worktop bkt",HungScreenFrame
"frame, hung tack fab scrn .#MMW W, Intuty, worktop bkt",HungScreenFrame
"frame, hung tack fab scrn .#MMW W, Intuty, worktop bkt",HungScreenFrame
"frame, hung tack fab scrn .#MMW W, Intuty, worktop bkt",HungScreenFrame
"frame, hung tack fab scrn .#MMW W, Intuty, worktop bkt",HungScreenFrame
"frame, hung fabric scrn .#MMW W, Epure, worktop bkt",HungScreenFrame
"frame, hung fabric scrn .#MMW W, Epure, worktop bkt",HungScreenFrame
"frame, hung fabric scrn .#MMW W, Epure, worktop bkt",HungScreenFrame
"frame, hung fabric scrn .#MMW W, Epure, worktop bkt",HungScreenFrame
"frame, hung fabric scrn .#MMW W, Epure, worktop bkt",HungScreenFrame
"frame, hung fabric scrn .#MMW W, Epure, worktop bkt",HungScreenFrame
"frame, hung fabric scrn .#MMW W, Epure, worktop bkt",HungScreenFrame
"frame, hung tack fab scrn .#MMW W, Epure, worktop bkt",HungScreenFrame
"frame, hung tack fab scrn .#MMW W, Epure, worktop bkt",HungScreenFrame
"frame, hung tack fab scrn .#MMW W, Epure, worktop bkt",HungScreenFrame
"frame, hung tack fab scrn .#MMW W, Epure, worktop bkt",HungScreenFrame
"frame, hung tack fab scrn .#MMW W, Epure, worktop bkt",HungScreenFrame
"frame, hung tack fab scrn .#MMW W, Epure, worktop bkt",HungScreenFrame
"frame, hung tack fab scrn .#MMW W, Epure, worktop bkt",HungScreenFrame
"SCR,pan head,PH,zinc DIA0.12x0.75L,plastifast,black",WoodFurnitScrew
"SCR,M8-50mm,PAN,TX,self, tapping,PHOS&WAX",MetricScrew
"SCR,M8x90mm,pan,TX,zinc, MS,nylon,patch",MetricScrew
"SCR,,FLT,HX,,Z,M8X30MM",WoodFurnitScrew
"SCR,TX,SW,phos,and oil, 5/16-18X1.250,black",SelfTapScrew
"SCR,5/16-18x.75,PAN,TX,SW,B",SelfTapScrew
"SCR,.312-18x2.00,cap,HX,B,Z",MetricScrew
"SCR,M6x20,cap,hex GB70-85,8.8, zinc coated",MetricScrew
"SCR,3/8-16x1.25,cap,HX, BK,W/patch",MetricScrew
1/4-20 x 1 3/4 SHCS w/patch,MetricScrew
"SCREW #10-32 X .375 TRUSS, M5",MetricScrew
"SCR,pan head,TX,zinc DIA8-32x0.34,0.074 shoulder",SelfTapScrew
"SCR,pan head,TX,zinc,carburize D8-32x0.34,0.074 shoulder,12.",MetricScrew
"SCR,M5X12.5mm,pan,TX,B,Z, plastikwik,black",SelfTapScrew
"SCR,pan head,TX,zinc M6x14mmL,plastikwik,black",SelfTapScrew
"SCR,pan head,TX,zinc M6x14mmL,plastikwik,black",SelfTapScrew
"SCR,M5X10.0MM,TRS,TX,B,Z BLK, PLASTIKWIK",MetricScrew
"SCR,M5.5*19 GB845, zinc coated",WoodFurnitScrew
"SCREW,4.8X19,PH,BLACK GB845",WoodFurnitScrew
"SCR,ST4.2x30",WoodFurnitScrew
"SCR,M5x16mm,OVL,TX,,Z,X99",SelfTapScrew
"SCR,M5x40mm,FLT,PH,,Z",SelfTapScrew
"SCR,M6x16mm,FIT,TX,,Z,X99",SelfTapScrew
"SCR,M6x16mm,FIT,TX,,Z,X99",SelfTapScrew
"SCR,pan head,TX,zinc M6x16mmL",SelfTapScrew
"SCR,M6x16mm,cap,HX,,Z,X99",SelfTapScrew
"SCR,M6x20mm,FLT,TX,,Z,X99",SelfTapScrew
"SCR,M6X25MM,pan,TX,Z,X99, D976125100",SelfTapScrew
"SCR,M6x40mm,FLT,HX,,Z,X99",SelfTapScrew
"SCR,M6x30mm,FLT,TX,,Z, 3-5 THD lead",SelfTapScrew
"SCR,pan head,PH,zinc M6x18mmL",MetricScrew
"Scr,M6x16,pan,TX,Aloha Easy gu",SelfTapScrew
"SCR,GB/T70.1,M5x10",MetricScrew
"SCR,GB/1845,M3.5x9.5",WoodFurnitScrew
"SCR,GB/T 818,M4x5",WoodFurnitScrew
"SCR,GB/T 70.3 M6x35, TRUSS-head",MetricScrew
"SCR,hex cap,M5x12",MetricScrew
"SCR,GB6560-86,M4x12",SelfTapScrew
"SCR,GB/T70.3,M5x8",MetricScrew
"SCR,8-32x.375,pan,ph,z",MetricScrew
"SCR,cantilever GB77 M5*6, zinc coated",MetricScrew
"SCR,M6x30 FLT,SL GB70.3,10.9, zinc coated",MetricScrew
"SCR,M6,FLT,SL,SW,Z GB77, M6*8, zinc coated",MetricScrew
"SCR,M6x10,hex,hx,ab,z GB70.3, 10.9, zinc coated",MetricScrew
"SCR,M6x12,hex,hx,ab,z GB70.3,10.9, zinc coated",MetricScrew
"SCR,M6x14,hex,hx,ab,z GB70.3, 10.9, zinc coated",MetricScrew
"SCR,M6x16,hex,hx,ab,z GB70.3, 10.9, zinc coated",MetricScrew
"SCR,M6x20,hex,hx,ab,z GB70.3, 10.9, zinc coated",MetricScrew
"SCR,M6x25,hex,hx,ab,z GB70.3,M6*25,10.9,zinc coated",MetricScrew
"SCR,M6x14,hex,hx,ab,z GB70.3, 10.9, specal head",MetricScrew
"SCR,pan,PH,zinc,M6x25mm",MetricScrew
"SCR,ST6.3x38, GB846,zinc coated",WoodFurnitScrew
"SCR,M6x30,flat GB819-76, zinc coated",MetricScrew
"SCR,M6x10,pan,hex,PH,a,b GB70.2,10.9, zinc coated",MetricScrew
"SCR,M6x6,pan,hex,PH,a,b GB70.2, 10.9, zinc coated",MetricScrew
"SCR,insert,ws,des",Nut
"SCR,M6x12,desk, GB77, zinc coated",MetricScrew
"SCR,M6.2-2.54X38",SelfTapScrew
"SCR,M4.0-1.8x10.00,truss, head,TX,Z",SelfTapScrew
"SCR,M4.0x11mm,PAN,WSHR, head,TX,Z",SelfTapScrew
"SCR,M3.5-1.6-18.2,RNDWHS, head,TX,Z",SelfTapScrew
"SCR,M5x12.5mm,PAN,TX,Z, plastic-KWIK",SelfTapScrew
"SCR,M7.2x1.59x19.50mm, WAFER,TX,6lobe",SelfTapScrew
"SCR,M5-2.2x17mm,PAN,TX, PK+",SelfTapScrew
"SCR,6-20x3/8,FLT,TX,AB, Z",SelfTapScrew
"SCR,10-12x5/8,FLT,TX,A, Z",SelfTapScrew
"SCR,M4x1.8x9.04,PAN,WSHER, HD,TX",SelfTapScrew
"SCR,M6-2.65x22MM,FTL, TX,",SelfTapScrew
"SCR,M6-2.65x36.8MM,OVL, TX,",SelfTapScrew
"SCR,M4.0x18.00mm,RND,WSHR, head,TX,Z",MetricScrew
"SCR,M8.0x22.20mm,PAN,TX,Z",MetricScrew
"SCR,1/4-20x12.7mm,PAN,TX, F,black",MetricScrew
"SCR,M5.0x14.4mm,RND,WSHER, headshldrd,TX,Z",MetricScrew
"SCR,8-32x.25,RND,WSHR,HD, TX,Z",MetricScrew
"SCR,8-32x.50,RND,WHSR,HD, TX,Z",MetricScrew
"SCR,st4.2x16,flt,ph,a,b GB845-85",MetricScrew
"SCR,2.9x19 GB846-85",MetricScrew
"SCR,for Tutti bench beam GB/T 70.1 M6x45,20mm,9.8",MetricScrew
"SCR,GB/T 70.1 M6x15,9.8",MetricScrew
GB/T 77 M5X10 FIX SCW,MetricScrew
"SCR,pan M6X20 GB818-85, zinc coated",MetricScrew
"SCR,pan,M10X80,GB/T70 zinc",MetricScrew
"SCR, 5.5*25,FLT GB846, zinc coated",WoodFurnitScrew
"SCR,#12-11,PAN,HEX,PH,A,B",SelfTapScrew
"SCR,GB/T6561 M4x10",SelfTapScrew
"SCR,GB/T6560 M4x10",SelfTapScrew
"SCR,GB/T6561,M5x12",SelfTapScrew
"SCR,GB/T6561 M5x12",SelfTapScrew
"SCR, M6X70,HEX socket GB70",MetricScrew
"SCR,GB/T70.1,M5x8",MetricScrew
"SCR,M6x12mm,FLT,TX,,Z,X99",SelfTapScrew
"SCREW,M6X24MM,DELTA, BLK",SelfTapScrew
"SCR, 1/2-13,BTN,HEX, B-PATCH",MetricScrew
SCREW M5 X 2.25 X 10.0 MM T-25,SelfTapScrew
"SCR,M8X40,GB/T70.3",MetricScrew
"SCR, M8X45 GB70",MetricScrew
"SCR,back beam,M4.2X19 GB846",WoodFurnitScrew
"SCR,SHLDR,RD,M5X2.25X14.0MM, TX,T25",SelfTapScrew
GB/T 2672   Hexagon lobular Flower shape head screws M8*27,MetricScrew
GB/T 2672  Hexagon lobular Flower shape head screws M8*30,MetricScrew
GB/T 2672   Hexagon lobular Flower shape M8 L=35mm DK=15,MetricScrew
"3x SCREW,WITH 3x SPRING WASHER",MiscFasteners
"3x SCREW,WITH 2x SPRING WASHER and 1x flush washer",MiscFasteners
"8x SCREW M8*30, black",MiscFasteners
"SCREW,M6-1X13.5MM,RNDWA,6LOBE, T30,M/S,BLK,ZNC,W/PATCH",MetricScrew
"SCR,M5-0.8x10,TRS,6LB,T20, THRFRM,BLK,ZNC",MetricScrew
"SCR,M4-0.7x8,PHD,6LB,T20, THR FRM,BLK,ZNC",MetricScrew
"SCR,M8-1.25MM,RNDWA,T30, M/S,W/PATCH,BLK",MetricScrew
"M8-1.25X30MM,FLAT,T40,M/S, TRIV,BLK ZNC",MetricScrew
"SCREW,M4-.7X15MM,TRUSS, 6LOBE,T20,TF,ZNC",SelfTapScrew
M6*20mm,MetricScrew
M10*60mm Socket screws,MetricScrew
ST4.8*20 blackening screw,WoodFurnitScrew
ST4.8*20 galvanized screw,WoodFurnitScrew
"SCR,M6-1X20MM,FLAT,T30,ZNC, W/PATCH,BLK",MetricScrew
Screws DIN/ISO 912-8.8 M8x16,MetricScrew
Screws DIN/ISO 912-8.8 M6x25,MetricScrew
"Scew, half round head, M6x60, 10.9, TX, zinc plated",MetricScrew
"SCREW, half round head M6x35, 10.9, Black",MetricScrew
"SCREW, GB/T 846 ST3.5*25",WoodFurnitScrew
"SCREW,M6x8,black",MetricScrew
"Seat,shell,outer .#ACPLS",SeatShell
"Seat,shell,outer .#ACPLS",SeatShell
"Seat,shell,outer .#ACPLS",SeatShell
"Seat shell,seminar,Very, .#ACPLS",SeatShell
"Seat shell,seminar,Very, .#ACPLS",SeatShell
"Seat shell,seminar,Very, .#ACPLS",SeatShell
"Seat shell,seminar,Very, .#ACPLS",SeatShell
"Seat shell,seminar,Very, .#ACPLS",SeatShell
"Seat shell,seminar,Very, .#ACPLS",SeatShell
"Seat shell,seminar,Very, .#ACPLS",SeatShell
"Seat shell,seminar,Very, .#ACPLS",SeatShell
"Seat shell,seminar,Very, .#ACPLS",SeatShell
"Seat shell,seminar,Very, .#ACPLS",SeatShell
"Seat shell,seminar,Very, .#ACPLS",SeatShell
"Seat shell,seminar,Very, .#ACPLS",SeatShell
"Seat,fixed,4leg,Very,.#ACPLS",SeatPlate
"Seat,fixed,4leg,Very,.#ACPLS",SeatPlate
"Seat,fixed,4leg,Very,.#ACPLS",SeatPlate
"Seat,fixed,4leg,Very,.#ACPLS",SeatPlate
"Seat,fixed,4leg,Very,.#ACPLS",SeatPlate
"Seat,fixed,4leg,Very,.#ACPLS",SeatPlate
"Seat,fixed,4leg,Very,.#ACPLS",SeatPlate
"Seat,fixed,4leg,Very,.#ACPLS",SeatPlate
"Seat,fixed,4leg,Very,.#ACPLS",SeatPlate
"Seat,fixed,4leg,Very,.#ACPLS",SeatPlate
"Seat,fixed,4leg,very,.#ACPLS",SeatPlate
"Seat,fixed,4leg,very,.#ACPLS",SeatPlate
"Seat,shell,outer,SUB ASSY, Very task ,.#ACPLS",SeatPlate
"Seat,shell,outer,SUB ASSY, Very task ,.#ACPLS",SeatPlate
"Seat inner,ez65 guest chair TR00F",SeatPlate
Tension adjust trigger,SeatingControl
"SPCC,T=1.2mm,1250mm*2500mm",MetalSheets
"SGCC,T=0.7,1250*2500",MetalSheets
"SGCC, T=0.7, 1720*2131",MetalSheets
"SGCC, T=0.7, 931*2071.5",MetalSheets
"Shell,seat,inner,W/foam",SeatCushion
"Shell,Seat,SEM,X99,Export",SeatPlate
"Shell,seat,inner,W/foam Gel,Zody",SeatCushion
"Shell,seat/back,wire,STKR, Very,.#ACPLS",SeatShell
"Shell,seat/back,wire,STKR, Very,.#ACPLS",SeatShell
"Shell,seat/back,wire,STKR, Very,.#ACPLS",SeatShell
"Shell,seat/back,wire,STKR, Very,.#ACPLS",SeatShell
"Shell,seat/back,wire,STKR, Very,.#ACPLS",SeatShell
"Shell,seat/back,wire,STKR, Very,.#ACPLS",SeatShell
"Shell,seat/back,wire,STKR, Very,.#ACPLS",SeatShell
"Shell,seat/back,wire,STKR, Very,.#ACPLS",SeatShell
"Shell,seat/back,wire,STKR, Very,.#ACPLS",SeatShell
"Shell,seat/back,wire,STKR, Very,.#ACPLS",SeatShell
"Shell,seat/back,wire,STKR, very,.#ACPLS",SeatShell
"Shell,seat/back,wire,STKR, very,.#ACPLS",SeatShell
"Seat shell,inner,seat,Aloha Ea",SeatPlate
"Seat shell,ASSY,outer,Aloha Ea",SeatPlate
Out shell TR00F,SeatPlate
Aloha Easy LITE SEAT SHELL,SeatPlate
Aloha Easy Lite plywood,SeatPlate
"SHELL,OUTER,HEADREST",MiscHeadrestCom
"SHELL,OUTER,HEADREST",MiscHeadrestCom
"SHELL,OUTER,HEADREST",MiscHeadrestCom
"SHELL, UPHOLSTERY, BACK, PROJ 530",BackPad
Maari lower back seat pad foam with plate,SeatCushion
"Seat/Back, Seat shell,ASSY ,.*ACPLS",SeatShell
"Seat/Back, Seat shell,ASSY ,.*ACPLS",SeatShell
"Seat/Back, Seat shell,ASSY ,.*ACPLS",SeatShell
"Seat/Back, Seat shell,ASSY ,.*ACPLS",SeatShell
SOJI SEAT PLYWOOD,SeatPlate
DAYTONA SEAT FOAM W SHELL,SeatCushion
"SEAT,SHELL,plastic pad DAYTONA",SeatPlate
ID6XOD12XT1.5mm shimGB97-85,Washer
"Sleeve,locking,footrest",Sleeve
"Slide,plastic,",SlideDoorGuide
"Socket,caster,ACPLS",MiscConnector
"Socket,caster,ACPLS",MiscConnector
"Socket,caster,ACPLS",MiscConnector
"ATT spacer,interlock,LH",CabinetConnect
"ATT spacer,interlock,RH",CabinetConnect
"Spacer,no forward tilt no back stop.#ACPLS",SeatingControl
"Spacer,no forward tilt no back stop.#ACPLS",SeatingControl
"spacer PE for acrylic scrn, Intuity rail mount",Spacer
Intuity beam BTM spacer,Spacer
CONTROL FOUNDATION CUSHION BLOCK LH,MiscMechComp
CONTROL FOUNDATION CUSHION BLOCK RH,MiscMechComp
SOJI PLYWOOD ARM SPAER LH,MiscHardware
SOJI PLYWOOD ARM SPAER RH,MiscHardware
Intuity beam top spacer,Spacer
"Spline, MDF screen",MiscConnector
"Spring,TRSN,.295D,,top",MiscMechComp
"Spring,TRSN,.295D,,bottom",MiscMechComp
"Spring,TRSN,PNT,X99,GST, TRGBK",MiscMechComp
"Spring,TRSN,PNT,X99,GST, TRGBK",MiscMechComp
"Tension adjust assembly,B=70D, NA",MiscMechComp
"Spring,compression,0.4DIAx 1.75L,sliding seat lever",TensionSpring
"Spring,torsion,control,RH",TensionSpring
"Spring,torsioncontrol,LH",TensionSpring
"Spring,compression,steel planes fliptop",CompressSpring
"SPRING,FORWARD TILT,FERN,EXPOR",CompressSpring
"SPRING,TORSION,ACTIVATION, LEVER,FERN,EXPORT",TensionSpring
"SPRING,LUMBAR,FERN,EXPORT",MiscLumbPelvCom
"SPRING, HANDLE",CompressSpring
"Mechanism,Return spring,black",TensionSpring
"SPRING,WASHER,T93-1987,8,BLACK",Washer
"MD,Staple,chisel,resin coat",Staples
"MD,STAPLE,CHISEL PT,RESIN",Staples
"MD,STAPLE,CHISEL PT,RES used in SFT core",Staples
"MD,STAPLE,black, 1008J",Staples
"MD,STAPLE, Zinc, 9mmWx6mmH",Staples
1250x2500 steel 0.7T,MetalSheets
1250*1570 0.7T SPCC,MetalSheets
"SPCC,T=1.5,1250*2500",MetalSheets
1250x2500 steel 2.5T,MetalSheets
1250x2500 steel 3.0T,MetalSheets
"Metal sheet, 800x900, 4mmTHK",MetalSheets
"Stop,door,bottom",CabDoorStopper
"Stop,recline,soft",MiscConnector
"Stopper, AL flip top, SC",MiscHardware
Blocker of Back frame,BackrestFrame
"Strap,zipper,screen, PWR,Bamboo,.#MMW",Tape
"Strap,zipper,screen, PWR,Bamboo,.#MMW",Tape
"Strap,zipper,screen, PWR,Bamboo,.#MMW",Tape
"STAPLE STRIP, TOP, WOOD, POPPY CHAIR",SeatPlate
"STAPLE STRIP, BOTTOM, WOOD POPPY CHAIR",SeatPlate
"Zipper, 190mm, YKK",Tape
"Zipper, Effectively used 250mm",Tape
"Support,arm,lower, FAB,LH",ArmrestSupport
"Support,arm,lower, FAB,RH",ArmrestSupport
"Support,arm,lower, Polished,LH",ArmrestSupport
"Support,arm,lower, Polished,LH",ArmrestSupport
"Support,arm,lower, Polished,RH",ArmrestSupport
"Support,arm,lower, Polished,RH",ArmrestSupport
"Support,arm,fixed, FAB,LH",ArmrestSupport
"Support,arm,fixed, FAB,RH",ArmrestSupport
"Support,arm,fixed, Polish,LH",ArmrestSupport
"Support,arm,fixed, Polish,LH",ArmrestSupport
"Support,arm,fixed, Polish,RH",ArmrestSupport
"Support,arm,fixed, Polish,RH",ArmrestSupport
"Suprt,rod,seat,very, EXP,d972317000",MiscMechComp
"Support SUBASSY,lumbar,back .#ACPLS",LumbarAssy
"Support SUBASSY,lumbar,back .#ACPLS",LumbarAssy
"Support ASSY,headrest",HeadRest
"planes tray stiffer ,FAB .#MML",Beam
"planes tray stiffer ,FAB .#MML",Beam
"planes tray stiffer ,FAB .#MML",Beam
"Support,ASSY,headrest.kit .#ACPLS",HeadRest
"Support,ASSY,headrest,kit .#ACPLS",HeadRest
"SUPPORT,ARM,PLASTIC,LH,FERN, BLACK,EXPORT",ArmrestSupport
"SUPPORT,ARM,PLASTIC,LH,FERN, FOG,EXPORT",ArmrestSupport
"SUPPORT,ARM,PLASTIC,LH,FERN, SNOW,EXPORT",ArmrestSupport
"SUPPORT,ARM,PLASTIC,RH,FERN, BLACK,EXPORT",ArmrestSupport
"SUPPORT,ARM,PLASTIC,RH,FERN, FOG,EXPORT",ArmrestSupport
"SUPPORT,ARM,PLASTIC,RH,FERN, SNOW,EXPORT",ArmrestSupport
"SUPPORT, ARM, FXD, LH, PFP, PROJ 451",ArmrestSupport
"SUPPORT, ARM, FXD, RH, PFP, PROJ 451",ArmrestSupport
"SUPPORT, ARM, FXD, LH, POLISHED, PROJ 451",ArmrestSupport
"SUPPORT, ARM, FXD, RH, POLISHED, PROJ 451",ArmrestSupport
"SUPPORT, ARM, ALUM, LH, PFP, PROJ 451",ArmrestSupport
"SUPPORT, ARM, ALUM, RH, PFP, PROJ 451",ArmrestSupport
"SUPPORT, ARM, ALUM, LH, POLISHED, PROJ 451",ArmrestSupport
"SUPPORT, ARM, ALUM, RH, POLISHED, PROJ 4",ArmrestSupport
"SUPPORT,MOUNT,HEADREST",MiscHeadrestCom
"SUPPORT,MOUNT,HEADREST",MiscHeadrestCom
"SUPPORT,MOUNT,HEADREST",MiscHeadrestCom
"SUPPORT,POST,HEADREST",MiscHeadrestCom
"SUPPORT, ARM, FXD, CORED, LH, ASY, SCR, VRY",ArmrestSupport
"SUPPORT, ARM, FXD, CORED, RH, ASY, SCR, VRY",ArmrestSupport
"SUPPORT, ARM, FIXED,.*ACPLS,PR",ArmrestSupport
"SUPPORT, ARM, FIXED,.*ACPLS,PR",ArmrestSupport
"SUPPORT,LEVER,FWDTLT,PROJ545",SeatingControl
"SUPPORT,FRAME,WOOD,PROJ530, RAW MATERIAL",SeatPlate
"SUPPORT, 85 X 249.2, TABLES, FAB",Bracket
"SUPPORT, LUMBAR, SLIDE",LumbarPad
"SUPPORT, ARM, LOWER, LH, ADJ, RAW",ArmrestSupport
"SUPPORT, ARM, LOWER, RH, ADJ, RAW",ArmrestSupport
"SUPPORT, ARM, LOWER, LH, ADJ, POLISH",ArmrestSupport
"SUPPORT, ARM, LOWER, RH, ADJ, POLISH",ArmrestSupport
"DAYTONA,NARROW,SLIDE",MiscConnector
"HANDLE, LUMBAR .#ACPLS",MiscConnector
"HANDLE, LUMBAR .#ACPLS",MiscConnector
"VERY SUPPORT ARM FIXED CORED, LH, ASY, POL, VRY",ArmrestSupport
"VERY SUPPORT ARM FIXED CORED, RH, ASY, POL, VRY",ArmrestSupport
"Double-sided adhesive tape, 1120w*75000d",Tape
"SEAT,CLIP,ATTACHMENT,VERY SEMINAR",MiscFasteners
"INNER SHELL, CHAIR SEAT/BACK POPPY CHAIR",SeatShell
SEAT PAN WITH INSERTS ASSEMBLY,SeatCushion
"Cylinder,PNEU ASSY,w/CAN",GasSpringUnit
"Base, aluminum, raw material",StarBase
"Base, aluminum, polished",StarBase
"Base, aluminum, polished",StarBase
foam chick pouf A88028601,SofaFoam
foam chick pouf A88028601,SofaFoam
panel chick pouf A88028602,Endcap
panel chick pouf A88028602,Endcap
glider chick pouf A88028603,GlideFurniture
glider chick pouf A88028603,GlideFurniture
Pivot mount chick pouf A88028604,Bracket
Pivot mount chick pouf A88028604,Bracket
bushing pivot inner chick pouf A88028605,Bushings
bushing pivot inner chick pouf A88028605,Bushings
bushing pivot outer chick pouf A88028606,Bushings
bushing pivot outer chick pouf A88028606,Bushings
E-clip chick pouf A88028607,Clamps
E-clip chick pouf A88028607,Clamps
"8mm PET board, 4*8 used in SFT PET core",PETBoard
"18mm PET board, 1780x1220",PETBoard
"MD,Tape,tray,desk",Tape
"MD,Thread,nylon,black",Yarn
"Nylon thread, Allways UM cord",CableChain
"MD,Tie,wire,plastic,14.5L",Tape
"Tie,wire,plastic,23.6_in long",CableTie
"TIE, CABLE",CableTie
"TRACK,LH,LUMBAR,FERN,BLACK, EXPORT",MiscLumbPelvCom
"TRACK,LH,LUMBAR,FERN,FOG, EXPORT",MiscLumbPelvCom
"TRACK,LH,LUMBAR,FERN,SNOW, EXPORT",MiscLumbPelvCom
"TRACK,RH,LUMBAR,FERN,BLACK, EXPORT",MiscLumbPelvCom
"TRACK,RH,LUMBAR,FERN,FOG, EXPORT",MiscLumbPelvCom
"TRACK,RH,LUMBAR,FERN,SNOW, EXPORT",MiscLumbPelvCom
"Tube,bent,suprt,seat",BaseTube
"Tube,bent,SUPRY,seat,FIN, .*ACTRM",BaseTube
"Brush,Universal flip top, .#MMW",Brush
"Brush,Universal flip top, .#MMW",Brush
"Brush,Universal flip top, .#MMW",Brush
"Brush,Universal flip top, .#MMW",Brush
"AL edge, SC, 140D x .#MMW   , outbound,FAB",CableOutlet
"AL edge, SC, 140D x .#MMW   , outbound,FAB",CableOutlet
"AL edge, SC, 140D x .#MMW   , outbound,FAB",CableOutlet
"SCR,M4X6,GB/T6560",SelfTapScrew
"18mm PTB LPL board, 6*8, E0,FSC100%,",Particleboard
"TIBAS double side end leg,FAB, .#MMD D",Tableleg
"TIBAS double side end leg,FAB, .#MMD D",Tableleg
"TIBAS double side end leg,FAB, .#MMD D",Tableleg
"TIBAS double side end leg,FAB, .#MMD D",Tableleg
"TIBAS main beam,FAB, .#MMW W",Beam
"TIBAS main beam,FAB, .#MMW W",Beam
"TIBAS main beam,FAB, .#MMW W",Beam
"TIBAS main beam,FAB, .#MMW W",Beam
"TIBAS main beam,FAB, .#MMW W",Beam
"TIBAS single side end leg,FAB, .#MMD D",Tableleg
"TIBAS single side end leg,FAB, .#MMD D",Tableleg
"TIBAS single side end leg,FAB, .#MMD D",Tableleg
"TIBAS single side end leg,FAB, .#MMD D",Tableleg
"TIBAS single side intermedia leg,FAB, .#MMD D",Tableleg
"TIBAS single side intermedia leg,FAB, .#MMD D",Tableleg
"TIBAS end bracket,FAB",TopSupport
"TIBAS mid-span,FAB",TopSupport
TIBAS beam spacer,Spacer
"GB70.3,M6*40, White Zinc",MetricScrew
"TIBAS housing,30*60,M8",GlideFurniture
"TIBAS plug,30*60",Endcap
"5MM SPHC,700*950",MetalSheets
"Upright,control,support,back ASSY,W/pin,LH",BackUpright
"Upright,control,support,back ASSY,W/pin,RH",BackUpright
"Upright,control,support,back ASSY,W/pin,polish,LH",BackUpright
"Upright,control,support,back ASSY,W/pin,polish,LH",BackUpright
"Upright,control,support,back ASSY,W/pin,polish,RH",BackUpright
"Upright,control,support,back ASSY,W/pin,polish,RH",BackUpright
"Upright,RH,FIN,EXP",BackUpright
"Upright,LH,FIN,EXP",BackUpright
"Upright,support,ASSY,LH, w/pin,PFP",BackUpright
"Upright,support,ASSY,RH, w/pin,PFP",BackUpright
"Upright,support,ASSY,LH, w/pin,polished",BackUpright
"Upright,support,ASSY,LH, w/pin,polished",BackUpright
"Upright,support,ASSY,RH, w/pin,polished",BackUpright
"Upright,support,ASSY,RH, w/pin,polished",BackUpright
Right upright,BackUpright
Left upright,BackUpright
"Kit,upright,assebmly,X99, Guest,FAB",BackUpright
"Kit,upright,assebmly,X99, Seminar,FAB",BackUpright
STEEL L  PLATE IC,BackrestFrame
"plastic upright, pair, ,.#ACPLS",BackUpright
"Upright, Very, pair, plastic, .#ACPLS",BackUpright
"Upright, Very, pair, plastic, .#ACPLS",BackUpright
"Upright, Very, pair, plastic, thick, .#ACPLS",BackUpright
"Upright, Very, pair, plastic, thick, .#ACPLS",BackUpright
"Mdf painted Tablet, Maari, Poppy MDF Black",WritingTableTop
